time (minutes),A,B
15.9266666666667,34624.6809478608,57707.2382225677
15.9275,34624.6809478769,57707.2383852716
15.9283333333333,34624.680947893,57707.2385479286
15.9291666666667,34624.6809479091,57707.2387105385
15.93,34624.6809479252,57707.2388731016
15.9308333333333,34624.6809479412,57707.2390356177
15.9316666666667,34624.6809479573,57707.2391980868
15.9325,34624.6809479734,57707.2393605091
15.9333333333333,34624.6809479894,57707.2395228844
15.9341666666667,34624.6809480055,57707.2396852129
15.935,34624.6809480215,57707.2398474944
15.9358333333333,34624.6809480376,57707.2400097292
15.9366666666667,34624.6809480536,57707.240171917
15.9375,34624.6809480696,57707.2403340581
15.9383333333333,34624.6809480856,57707.2404961523
15.9391666666667,34624.6809481016,57707.2406581997
15.94,34624.6809481176,57707.2408202003
15.9408333333333,34624.6809481336,57707.2409821542
15.9416666666667,34624.6809481496,57707.2411440612
15.9425,34624.6809481656,57707.2413059216
15.9433333333333,34624.6809481816,57707.2414677351
15.9441666666667,34624.6809481975,57707.241629502
15.945,34624.6809482135,57707.2417912221
15.9458333333333,34624.6809482294,57707.2419528956
15.9466666666667,34624.6809482453,57707.2421145223
15.9475,34624.6809482613,57707.2422761024
15.9483333333333,34624.6809482772,57707.2424376358
15.9491666666667,34624.6809482931,57707.2425991226
15.95,34624.680948309,57707.2427605628
15.9508333333333,34624.6809483249,57707.2429219563
15.9516666666667,34624.6809483408,57707.2430833032
15.9525,34624.6809483567,57707.2432446036
15.9533333333333,34624.6809483725,57707.2434058573
15.9541666666667,34624.6809483884,57707.2435670645
15.955,34624.6809484043,57707.2437282252
15.9558333333333,34624.6809484201,57707.2438893393
15.9566666666667,34624.680948436,57707.2440504068
15.9575,34624.6809484518,57707.2442114279
15.9583333333333,34624.6809484676,57707.2443724025
15.9591666666667,34624.6809484835,57707.2445333306
15.96,34624.6809484993,57707.2446942122
15.9608333333333,34624.6809485151,57707.2448550473
15.9616666666667,34624.6809485309,57707.2450158361
15.9625,34624.6809485467,57707.2451765784
15.9633333333333,34624.6809485624,57707.2453372742
15.9641666666667,34624.6809485782,57707.2454979237
15.965,34624.680948594,57707.2456585268
15.9658333333333,34624.6809486097,57707.2458190835
15.9666666666667,34624.6809486255,57707.2459795938
15.9675,34624.6809486412,57707.2461400578
15.9683333333333,34624.680948657,57707.2463004755
15.9691666666667,34624.6809486727,57707.2464608468
15.97,34624.6809486884,57707.2466211718
15.9708333333333,34624.6809487041,57707.2467814505
15.9716666666667,34624.6809487198,57707.246941683
15.9725,34624.6809487355,57707.2471018692
15.9733333333333,34624.6809487512,57707.2472620091
15.9741666666667,34624.6809487669,57707.2474221028
15.975,34624.6809487826,57707.2475821502
15.9758333333333,34624.6809487983,57707.2477421514
15.9766666666667,34624.6809488139,57707.2479021065
15.9775,34624.6809488296,57707.2480620153
15.9783333333333,34624.6809488452,57707.248221878
15.9791666666667,34624.6809488609,57707.2483816945
15.98,34624.6809488765,57707.2485414648
15.9808333333333,34624.6809488921,57707.248701189
15.9816666666667,34624.6809489077,57707.2488608671
15.9825,34624.6809489233,57707.2490204991
15.9833333333333,34624.6809489389,57707.249180085
15.9841666666667,34624.6809489545,57707.2493396248
15.985,34624.6809489701,57707.2494991185
15.9858333333333,34624.6809489857,57707.2496585662
15.9866666666667,34624.6809490013,57707.2498179678
15.9875,34624.6809490168,57707.2499773234
15.9883333333333,34624.6809490324,57707.250136633
15.9891666666667,34624.6809490479,57707.2502958966
15.99,34624.6809490635,57707.2504551142
15.9908333333333,34624.680949079,57707.2506142858
15.9916666666667,34624.6809490945,57707.2507734115
15.9925,34624.6809491101,57707.2509324912
15.9933333333333,34624.6809491256,57707.251091525
